Time_s,Distance_m,RSSI_dBm,Throughput_Mbps,Delay_ms,Jitter_ms,PacketDrop
0.2,1,-5.71343,0,0,0,0
0.4,3,-16.4487,0,0,0,0
0.6,5,-21.4341,1050.77,0.534879,0.00467005,0
0.8,7,-24.722,2499.93,0.360839,0.00351781,0
1,9,-27.1777,2500.99,0.363792,0.003407,0
1.2,11,-29.1386,2498.28,0.366559,0.00341485,0
1.4,13,-30.771,2501.75,0.364126,0.00344038,0
1.6,15,-32.1693,2498.98,0.364676,0.00348452,0
1.8,17,-33.3924,2500.22,0.366331,0.00345902,0
2,19,-34.4792,2500.99,0.378454,0.00379719,0
2.2,21,-35.4572,2497.98,0.388286,0.00368714,0
2.4,23,-36.3462,2502.69,0.466051,0.00498469,0
2.6,25,-37.1609,2498.46,0.410573,0.00375887,0
2.8,27,-37.913,2501.28,0.402561,0.00373907,0
3,29,-38.6112,2500.81,0.417807,0.00381859,0
3.2,31,-39.2629,2501.46,0.414648,0.0038026,0
3.4,33,-39.8739,2497.63,0.413857,0.00380651,0
3.6,35,-40.4488,2502.99,0.427473,0.00406315,0
3.8,37,-40.9918,2499.75,0.476118,0.0049369,0
4,39,-41.5062,2499.4,0.437234,0.00406445,0
4.2,41,-41.9949,2499.51,0.469618,0.0045863,0
4.4,43,-42.4603,2499.46,0.476678,0.00422884,0
4.6,45,-42.9046,2498.81,0.463599,0.00421703,0
4.8,47,-43.3295,2501.63,0.458472,0.0042319,0
5,49,-43.7367,2502.34,0.459097,0.0042372,0
5.2,51,-44.1276,2499.87,0.475462,0.00424503,0
5.4,53,-44.5035,2500.28,0.457915,0.00420399,0
5.6,55,-44.8655,2500.34,0.443124,0.00420108,0
5.8,57,-45.2145,2499.04,0.467192,0.00434523,0
6,59,-45.5515,2495.86,0.488829,0.00458656,0
6.2,61,-45.8772,2501.28,0.493645,0.00406063,0
6.4,63,-46.1925,2501.93,0.501487,0.00409188,0
6.6,65,-46.4978,2500.69,0.522618,0.00453105,0
6.8,67,-46.794,2501.05,0.574662,0.00531399,0
7,69,-47.0814,2500.57,0.560865,0.00424067,0
7.2,71,-47.3606,2497.4,0.550667,0.0041574,0
