Waktu(s),Active_STAs,Throughput(Mbps),Delay(ms),Jitter(ms),PacketDrop
10,10,0,0,0,0
11,10,0,0,0,115907
12,10,0,0,0,127378
13,10,0,0,0,127378
14,10,0,0,0,127377
15,20,0,0,0,127377
16,20,0,0,0,243285
17,20,0,0,0,254755
18,20,0,0,0,254753
19,20,0,0,0,254755
20,30,0,0,0,254755
21,30,0,0,0,370662
22,30,0,0,0,382132
23,30,0,0,0,382131
24,30,0,0,0,382133
25,40,0,0,0,382130
26,40,0,0,0,498039
27,40,0,0,0,509510
28,40,0,0,0,509508
29,40,0,0,0,509510
30,50,0,0,0,509508
31,50,0,0,0,625417
32,50,0,0,0,636886
33,50,0,0,0,636884
34,50,0,0,0,636888
35,50,0,0,0,636885
36,50,0,0,0,636887
37,50,0,0,0,636886
38,50,0,0,0,636884
39,50,0,0,0,636888
