Time_s,Distance_m,RSSI_dBm,Throughput_Mbps,Delay_ms,Jitter_ms,PacketDrop
0.2,1,-5.71343,0,0,0,0
0.4,3,-16.4487,0,0,0,0
0.6,5,-21.4341,588.564,33.52,0.00743132,8133
0.8,7,-24.722,1350.24,109.766,0.00996422,60493
1,9,-27.1777,1352.71,124.349,0.0122412,61973
1.2,11,-29.1386,1357.13,124.72,0.0122594,61888
1.4,13,-30.771,1360.66,124.304,0.0121547,61826
1.6,15,-32.1693,1370.02,123.416,0.0120483,61622
1.8,17,-33.3924,1365.6,124.045,0.0121636,61735
2,19,-34.4792,1373.55,123.292,0.0119681,61616
2.2,21,-35.4572,1363.48,123.56,0.0120529,61741
2.4,23,-36.3462,1352.71,124.52,0.0122507,61995
2.6,25,-37.1609,1340.34,125.33,0.0123924,62158
2.8,27,-37.913,1348.71,125.017,0.0123471,61996
3,29,-38.6112,1359.19,124.289,0.0121946,61827
3.2,31,-39.2629,1362.6,123.965,0.0121379,61825
3.4,33,-39.8739,1360.13,123.639,0.0121365,61792
3.6,35,-40.4488,1363.6,123.981,0.0121444,61776
3.8,37,-40.9918,1354.59,124.298,0.0122091,61909
4,39,-41.5062,1361.25,124.351,0.0121825,61826
4.2,41,-41.9949,1365.96,123.567,0.0120865,61742
4.4,43,-42.4603,1360.19,123.849,0.0121424,61826
4.6,45,-42.9046,1357.66,123.941,0.0121869,61825
4.8,47,-43.3295,1364.01,123.99,0.0121429,61784
5,49,-43.7367,1363.66,123.635,0.0121084,61777
5.2,51,-44.1276,1350.24,124.445,0.0122243,62000
5.4,53,-44.5035,1357.66,124.132,0.0122427,61869
5.6,55,-44.8655,1360.13,123.894,0.0121555,61825
5.8,57,-45.2145,1355.18,124.435,0.0122251,61868
6,59,-45.5515,1367.55,123.659,0.0121269,61741
6.2,61,-45.8772,1350.24,123.923,0.0121306,61993
6.4,63,-46.1925,1340.34,125.203,0.0124131,62120
6.6,65,-46.4978,1355.18,124.407,0.0122706,61910
6.8,67,-46.794,1362.6,124.201,0.0121968,61823
7,69,-47.0814,1355.18,123.957,0.0121793,61870
7.2,71,-47.3606,1362.6,124.205,0.0122029,61805
