Time_s,Distance_m,Throughput_Mbps,PacketDrop
0.2,1,0,0
0.4,3,0,0
0.6,5,1124.25,0
0.8,7,2757.59,0
1,9,2757.82,0
1.2,11,2762.77,0
1.4,13,2765.77,0
1.6,15,2694.35,0
1.8,17,2690.58,0
2,19,2699.65,0
2.2,21,2683.99,0
2.4,23,2698,0
2.6,25,2685.34,0
2.8,27,2693.88,0
3,29,2687.75,0
3.2,31,2633.35,0
3.4,33,2623.81,0
3.6,35,2628.76,0
3.8,37,2640.12,0
4,39,2632.29,0
4.2,41,2632.05,0
4.4,43,2625.99,0
4.6,45,2635.47,0
4.8,47,2632.82,0
5,49,2620.63,0
5.2,51,2628.58,0
5.4,53,2633.47,0
5.6,55,2627.4,0
5.8,57,2565.75,0
6,59,2579.83,0
6.2,61,2529.19,0
6.4,63,2523.48,0
6.6,65,2532.78,0
6.8,67,2516.47,0
7,69,2460.95,0
7.2,71,2490.27,0
7.4,73,2474.02,0
7.6,75,2479.32,0
7.8,77,2451.59,0
8,79,2481.97,0
8.2,81,2459.59,0
8.4,83,2473.96,0
8.6,85,2463.6,0
8.8,87,2487.09,0
9,89,2462.24,0
9.2,91,2470.37,0
9.4,93,2431.16,0
9.6,95,2374.87,0
9.8,97,2383.7,0
10,99,2336.77,0
10.2,101,2234.32,0
