STA_ID,MAC_Address,Direction,Area,Profil,QoS_AC,Throughput_Mbps,Delay_ms,Jitter_ms,MacDrop,HandoverCount
0,00:00:00:00:00:01,DL,Kelas A,Social Media,AC_BE,5.67063,13.7384,0.100801,392,0
0,00:00:00:00:00:01,UL,Kelas A,Social Media,AC_BE,0.56227,4.60829,0.621166,26,0
1,00:00:00:00:00:02,DL,Kelas A,Video 4K Streaming,AC_VI,20.3721,1.43572,0.1035,76,0
1,00:00:00:00:00:02,UL,Kelas A,Video 4K Streaming,AC_VI,0.52796,1.45982,0.814263,0,0
2,00:00:00:00:00:03,DL,Kelas A,Gaming,AC_VO,10.208,0.88509,0.163874,73,0
2,00:00:00:00:00:03,UL,Kelas A,Gaming,AC_VO,2.0864,0.977029,0.427902,7,0
3,00:00:00:00:00:04,DL,Kelas A,File Download,AC_BK,23.9824,59.1386,0.266285,67,1
3,00:00:00:00:00:04,UL,Kelas A,File Download,AC_BK,1.05609,17.8079,7.48275,0,1
4,00:00:00:00:00:05,DL,Kelas A,Web Browsing,AC_BE,4.07256,43.6752,0.983329,6,2
4,00:00:00:00:00:05,UL,Kelas A,Web Browsing,AC_BE,0.519748,4.32572,2.49392,3,2
5,00:00:00:00:00:06,DL,Kelas A,Live Streaming,AC_VI,2.06644,3.03476,0.719126,3,2
5,00:00:00:00:00:06,UL,Kelas A,Live Streaming,AC_VI,5.33205,1.09625,0.32403,1,2
6,00:00:00:00:00:07,DL,Kelas A,Social Media,AC_BE,4.4837,45.0125,0.221553,97,1
6,00:00:00:00:00:07,UL,Kelas A,Social Media,AC_BE,0.578502,1.50267,0.535941,19,1
7,00:00:00:00:00:08,DL,Kelas A,Video 4K Streaming,AC_VI,20.1645,3.82167,0.133951,128,1
7,00:00:00:00:00:08,UL,Kelas A,Video 4K Streaming,AC_VI,0.531456,1.12912,0.985563,0,1
8,00:00:00:00:00:09,DL,Kelas A,Gaming,AC_VO,10.2124,1.98222,0.123377,54,1
8,00:00:00:00:00:09,UL,Kelas A,Gaming,AC_VO,2.05539,0.866927,0.589336,12,1
9,00:00:00:00:00:0a,DL,Kelas A,File Download,AC_BK,23.4957,57.6568,0.306859,220,1
9,00:00:00:00:00:0a,UL,Kelas A,File Download,AC_BK,0.812818,99.597,9.50258,5,1
10,00:00:00:00:00:0b,DL,Kelas A,Web Browsing,AC_BE,11.0337,6.99364,0.148237,436,1
10,00:00:00:00:00:0b,UL,Kelas A,Web Browsing,AC_BE,0,0,0,118,1
11,00:00:00:00:00:0c,DL,Kelas A,Live Streaming,AC_VI,0,0,0,3548,1
11,00:00:00:00:00:0c,UL,Kelas A,Live Streaming,AC_VI,0,0,0,785,1
12,00:00:00:00:00:0e,DL,Kelas B,Social Media,AC_BE,11.0337,6.99364,0.148237,436,1
12,00:00:00:00:00:0e,UL,Kelas B,Social Media,AC_BE,0,0,0,118,1
13,00:00:00:00:00:0f,DL,Kelas B,Video 4K Streaming,AC_VI,0,0,0,3548,1
13,00:00:00:00:00:0f,UL,Kelas B,Video 4K Streaming,AC_VI,0,0,0,785,1
14,00:00:00:00:00:10,DL,Kelas B,Gaming,AC_VO,10.1525,0.782219,0.164764,81,1
14,00:00:00:00:00:10,UL,Kelas B,Gaming,AC_VO,0.598267,12.6186,1.00906,0,1
15,00:00:00:00:00:11,DL,Kelas B,File Download,AC_BK,30.9556,46.126,0.324818,97,0
15,00:00:00:00:00:11,UL,Kelas B,File Download,AC_BK,0.534191,1.8438,1.65792,0,0
16,00:00:00:00:00:12,DL,Kelas B,Web Browsing,AC_BE,2.54184,13.0559,2.36118,621,0
16,00:00:00:00:00:12,UL,Kelas B,Web Browsing,AC_BE,1.99734,1.95317,0.725152,13,0
17,00:00:00:00:00:13,DL,Kelas B,Live Streaming,AC_VI,2.12854,0.911419,0.529598,1,0
17,00:00:00:00:00:13,UL,Kelas B,Live Streaming,AC_VI,0.654919,70.0833,11.4548,7,0
18,00:00:00:00:00:14,DL,Kelas B,Social Media,AC_BE,5.63268,14.027,0.150626,309,1
18,00:00:00:00:00:14,UL,Kelas B,Social Media,AC_BE,0.514033,14.4564,5.68265,2,1
19,00:00:00:00:00:15,DL,Kelas B,Video 4K Streaming,AC_VI,20.7177,1.057,0.119628,91,0
19,00:00:00:00:00:15,UL,Kelas B,Video 4K Streaming,AC_VI,5.26281,6.8012,0.593426,0,0
20,00:00:00:00:00:16,DL,Kelas B,Gaming,AC_VO,10.1574,1.26927,0.194266,81,0
20,00:00:00:00:00:16,UL,Kelas B,Gaming,AC_VO,0.555175,10.5684,0.652372,31,0
21,00:00:00:00:00:17,DL,Kelas B,File Download,AC_BK,29.5877,48.6965,0.183992,251,0
21,00:00:00:00:00:17,UL,Kelas B,File Download,AC_BK,0.527434,3.40969,2.52729,0,0
22,00:00:00:00:00:1a,DL,Koridor,Web Browsing,AC_BE,0,0,0,1124,0
22,00:00:00:00:00:1a,UL,Koridor,Web Browsing,AC_BE,2.04841,1.43796,0.387487,11,0
23,00:00:00:00:00:1b,DL,Koridor,Live Streaming,AC_VI,2.04827,1.44446,0.722163,13,0
23,00:00:00:00:00:1b,UL,Koridor,Live Streaming,AC_VI,0.779571,38.4654,8.24206,6,0
