STA_ID,MAC_Address,Area,Profil,QoS_AC,Throughput_Mbps,Delay_ms,Jitter_ms,MacDrop,HandoverCount
0,00:00:00:00:00:01,Kelas A,Social Media,AC_BE,5.67165,1.93257,0.0946714,309,0
1,00:00:00:00:00:04,Kelas A,Video 4K Streaming,AC_VI,20.5854,0.200891,0.0638888,43,0
2,00:00:00:00:00:07,Kelas A,Gaming,AC_VO,10.3758,0.263404,0.0624567,48,0
3,00:00:00:00:00:0a,Kelas A,File Download,AC_BK,31.4762,1.20181,0.0703628,92,0
4,00:00:00:00:00:0d,Kelas A,Web Browsing,AC_BE,5.14381,0.328617,0.189588,55,0
5,00:00:00:00:00:10,Kelas A,Social Media,AC_BE,5.84224,1.9783,0.0859933,121,0
6,00:00:00:00:00:13,Kelas A,Video 4K Streaming,AC_VI,20.3184,0.214865,0.0668877,161,0
7,00:00:00:00:00:16,Kelas A,Gaming,AC_VO,10.1706,0.194056,0.0588482,79,0
8,00:00:00:00:00:19,Kelas A,File Download,AC_BK,31.666,1.00651,0.0784243,63,0
9,00:00:00:00:00:1c,Kelas A,Web Browsing,AC_BE,5.21617,0.336979,0.174484,39,0
10,00:00:00:00:00:22,Kelas B,Social Media,AC_BE,5.7749,2.40266,0.0989905,189,0
11,00:00:00:00:00:25,Kelas B,Video 4K Streaming,AC_VI,20.8307,0.36191,0.0697462,84,0
12,00:00:00:00:00:28,Kelas B,Gaming,AC_VO,10.2766,0.207681,0.0677674,63,0
13,00:00:00:00:00:2b,Kelas B,File Download,AC_BK,31.204,1.43905,0.078566,130,0
14,00:00:00:00:00:2e,Kelas B,Web Browsing,AC_BE,5.12406,0.424329,0.241155,58,0
15,00:00:00:00:00:31,Kelas B,Social Media,AC_BE,5.69602,2.75945,0.0949978,267,0
16,00:00:00:00:00:34,Kelas B,Video 4K Streaming,AC_VI,20.9224,0.21486,0.0641142,70,0
17,00:00:00:00:00:37,Kelas B,Gaming,AC_VO,10.3562,0.258227,0.0687959,51,0
18,00:00:00:00:00:3d,Koridor,File Download,AC_BK,0,0,0,4840,0
19,00:00:00:00:00:40,Koridor,Web Browsing,AC_BE,5.35321,0.456578,0.213167,7,0
