STA_ID,Area,Profil,Throughput_Mbps,Delay_ms,Jitter_ms,MacDrop,HandoverCount
0,Kelas A,Social Media,5.58753,1178.18,0.575159,56297,0
1,Kelas A,Video 4K Streaming,184.655,39.5229,0.109316,2888,0
2,Kelas A,Gaming,100.95,5.42769,0.173392,152,0
3,Kelas A,File Download,1.51708,1724.57,6.39151,50315,0
4,Kelas A,Web Browsing,0.0122859,2007.99,0.101684,12371,0
5,Kelas A,Social Media,0.0373799,163.655,46.2588,61677,0
6,Kelas A,Video 4K Streaming,13.4571,75.2829,0.924317,31225,0
7,Kelas A,Gaming,12.2594,10.4105,1.05508,14675,0
8,Kelas A,File Download,0.018163,1981.98,0.00791967,49929,0
9,Kelas A,Web Browsing,0.0124452,1982.28,0.101684,12215,0
10,Kelas B,Social Media,2.58232,547.967,0.739994,58098,0
11,Kelas B,Video 4K Streaming,179.577,58.9771,0.122778,3630,0
12,Kelas B,Gaming,95.903,8.39606,0.206727,957,0
13,Kelas B,File Download,0.391012,1429.28,0.0764124,49231,0
14,Kelas B,Web Browsing,2.61817,320.118,3.63015,11430,0
15,Kelas B,Social Media,2.61726,743.026,0.554668,57314,0
16,Kelas B,Video 4K Streaming,100.978,49.2858,0.172914,16287,0
17,Kelas B,Gaming,57.9521,8.03895,0.289384,7007,0
18,Koridor,File Download,0,0,0,48658,0
19,Koridor,Web Browsing,1.34241,653.716,2.10995,11586,0
