
=======================================================
[INFO] TANGGAL & WAKTU EKSEKUSI SIMULASI : 2026-06-09 16:04:08
=======================================================

=======================================================
[INFO] Skenario Range / Pathloss Degradation (Wi-Fi 7)
=======================================================
[SPESIFIKASI SIMULASI]
- Standar Wi-Fi     : Wi-Fi 7 (802.11be)
- Konfigurasi MIMO  : 8x8 Spatial Streams
- Fitur Spesial     : Multi-Link Operation (MLO) Aktif
    * Link 0        : Frekuensi 5 GHz (Lebar Pita 160 MHz)
    * Link 1        : Frekuensi 6 GHz (Lebar Pita 320 MHz)
- Tx Power          : 20.0 dBm
- Rate Adaptation   : IdealWifiManager (Otomatis menyesuaikan hingga 4096-QAM)
- Propagation Model : HybridBuildingsPropagationLossModel (Redaman Tembok/Indoor)
- Jarak Uji         : 0 hingga 300 meter
=======================================================

[INFO] Waktu: 0.2s | Jarak: 1 m | RSSI: -5.71343 dBm | Tput: 0 Mbps | Delay: 0 ms | Jitter: 0 ms | Drop: 0
[INFO] Waktu: 0.4s | Jarak: 3 m | RSSI: -16.4487 dBm | Tput: 0 Mbps | Delay: 0 ms | Jitter: 0 ms | Drop: 0
[INFO] Waktu: 0.6s | Jarak: 5 m | RSSI: -21.4341 dBm | Tput: 1124.25 Mbps | Delay: 23.2975 ms | Jitter: 0.0048784 ms | Drop: 0
[INFO] Waktu: 0.8s | Jarak: 7 m | RSSI: -24.722 dBm | Tput: 2757.59 Mbps | Delay: 69.5927 ms | Jitter: 0.00498988 ms | Drop: 34558
[INFO] Waktu: 1s | Jarak: 9 m | RSSI: -27.1777 dBm | Tput: 2757.82 Mbps | Delay: 77.0024 ms | Jitter: 0.00574707 ms | Drop: 38114
[INFO] Waktu: 1.2s | Jarak: 11 m | RSSI: -29.1386 dBm | Tput: 2762.77 Mbps | Delay: 77.0283 ms | Jitter: 0.00568616 ms | Drop: 38038
[INFO] Waktu: 1.4s | Jarak: 13 m | RSSI: -30.771 dBm | Tput: 2765.77 Mbps | Delay: 76.9089 ms | Jitter: 0.00567109 ms | Drop: 37946
[INFO] Waktu: 1.6s | Jarak: 15 m | RSSI: -32.1693 dBm | Tput: 2694.35 Mbps | Delay: 77.923 ms | Jitter: 0.00574211 ms | Drop: 39140
[INFO] Waktu: 1.8s | Jarak: 17 m | RSSI: -33.3924 dBm | Tput: 2690.58 Mbps | Delay: 78.0994 ms | Jitter: 0.0057176 ms | Drop: 39259
[INFO] Waktu: 2s | Jarak: 19 m | RSSI: -34.4792 dBm | Tput: 2699.65 Mbps | Delay: 78.0245 ms | Jitter: 0.00572862 ms | Drop: 39048
[INFO] Waktu: 2.2s | Jarak: 21 m | RSSI: -35.4572 dBm | Tput: 2683.99 Mbps | Delay: 78.1799 ms | Jitter: 0.00573206 ms | Drop: 39355
[INFO] Waktu: 2.4s | Jarak: 23 m | RSSI: -36.3462 dBm | Tput: 2698 Mbps | Delay: 77.9888 ms | Jitter: 0.00568731 ms | Drop: 39083
[INFO] Waktu: 2.6s | Jarak: 25 m | RSSI: -37.1609 dBm | Tput: 2685.34 Mbps | Delay: 78.2719 ms | Jitter: 0.00575224 ms | Drop: 39329
[INFO] Waktu: 2.8s | Jarak: 27 m | RSSI: -37.913 dBm | Tput: 2693.88 Mbps | Delay: 78.0955 ms | Jitter: 0.00577838 ms | Drop: 39211
[INFO] Waktu: 3s | Jarak: 29 m | RSSI: -38.6112 dBm | Tput: 2687.75 Mbps | Delay: 78.1363 ms | Jitter: 0.00562227 ms | Drop: 39238
[INFO] Waktu: 3.2s | Jarak: 31 m | RSSI: -39.2629 dBm | Tput: 2633.35 Mbps | Delay: 78.9735 ms | Jitter: 0.00569259 ms | Drop: 40220
[INFO] Waktu: 3.4s | Jarak: 33 m | RSSI: -39.8739 dBm | Tput: 2623.81 Mbps | Delay: 79.357 ms | Jitter: 0.00571739 ms | Drop: 40347
[INFO] Waktu: 3.6s | Jarak: 35 m | RSSI: -40.4488 dBm | Tput: 2628.76 Mbps | Delay: 79.1808 ms | Jitter: 0.00568304 ms | Drop: 40275
[INFO] Waktu: 3.8s | Jarak: 37 m | RSSI: -40.9918 dBm | Tput: 2640.12 Mbps | Delay: 79.0173 ms | Jitter: 0.00567597 ms | Drop: 40116
[INFO] Waktu: 4s | Jarak: 39 m | RSSI: -41.5062 dBm | Tput: 2632.29 Mbps | Delay: 79.119 ms | Jitter: 0.00566232 ms | Drop: 40196
[INFO] Waktu: 4.2s | Jarak: 41 m | RSSI: -41.9949 dBm | Tput: 2632.05 Mbps | Delay: 79.1719 ms | Jitter: 0.00556845 ms | Drop: 40227
[INFO] Waktu: 4.4s | Jarak: 43 m | RSSI: -42.4603 dBm | Tput: 2625.99 Mbps | Delay: 79.1618 ms | Jitter: 0.00568267 ms | Drop: 40291
[INFO] Waktu: 4.6s | Jarak: 45 m | RSSI: -42.9046 dBm | Tput: 2635.47 Mbps | Delay: 79.1051 ms | Jitter: 0.00563521 ms | Drop: 40197
[INFO] Waktu: 4.8s | Jarak: 47 m | RSSI: -43.3295 dBm | Tput: 2632.82 Mbps | Delay: 79.0928 ms | Jitter: 0.00565465 ms | Drop: 40239
[INFO] Waktu: 5s | Jarak: 49 m | RSSI: -43.7367 dBm | Tput: 2620.63 Mbps | Delay: 79.3675 ms | Jitter: 0.00580829 ms | Drop: 40431
[INFO] Waktu: 5.2s | Jarak: 51 m | RSSI: -44.1276 dBm | Tput: 2628.58 Mbps | Delay: 79.1315 ms | Jitter: 0.00555663 ms | Drop: 40261
[INFO] Waktu: 5.4s | Jarak: 53 m | RSSI: -44.5035 dBm | Tput: 2633.47 Mbps | Delay: 79.1012 ms | Jitter: 0.00553729 ms | Drop: 40179
[INFO] Waktu: 5.6s | Jarak: 55 m | RSSI: -44.8655 dBm | Tput: 2627.4 Mbps | Delay: 79.2503 ms | Jitter: 0.00568129 ms | Drop: 40304
[INFO] Waktu: 5.8s | Jarak: 57 m | RSSI: -45.2145 dBm | Tput: 2565.75 Mbps | Delay: 80.2104 ms | Jitter: 0.00572192 ms | Drop: 41391
[INFO] Waktu: 6s | Jarak: 59 m | RSSI: -45.5515 dBm | Tput: 2579.83 Mbps | Delay: 80.2374 ms | Jitter: 0.00580074 ms | Drop: 41099
[INFO] Waktu: 6.2s | Jarak: 61 m | RSSI: -45.8772 dBm | Tput: 2529.19 Mbps | Delay: 80.8928 ms | Jitter: 0.00578185 ms | Drop: 41983
[INFO] Waktu: 6.4s | Jarak: 63 m | RSSI: -46.1925 dBm | Tput: 2523.48 Mbps | Delay: 81.1495 ms | Jitter: 0.0059401 ms | Drop: 42011
[INFO] Waktu: 6.6s | Jarak: 65 m | RSSI: -46.4978 dBm | Tput: 2532.78 Mbps | Delay: 80.951 ms | Jitter: 0.00567114 ms | Drop: 41949
[INFO] Waktu: 6.8s | Jarak: 67 m | RSSI: -46.794 dBm | Tput: 2516.47 Mbps | Delay: 81.3345 ms | Jitter: 0.00590114 ms | Drop: 42188
[INFO] Waktu: 7s | Jarak: 69 m | RSSI: -47.0814 dBm | Tput: 2460.95 Mbps | Delay: 82.3299 ms | Jitter: 0.00560086 ms | Drop: 43101
[INFO] Waktu: 7.2s | Jarak: 71 m | RSSI: -47.3606 dBm | Tput: 2490.27 Mbps | Delay: 81.8324 ms | Jitter: 0.00545376 ms | Drop: 42634
[INFO] Waktu: 7.4s | Jarak: 73 m | RSSI: -47.6321 dBm | Tput: 2474.02 Mbps | Delay: 82.0982 ms | Jitter: 0.0055273 ms | Drop: 42925
[INFO] Waktu: 7.6s | Jarak: 75 m | RSSI: -48.0617 dBm | Tput: 2479.32 Mbps | Delay: 82.031 ms | Jitter: 0.00554704 ms | Drop: 42842
[INFO] Waktu: 7.8s | Jarak: 77 m | RSSI: -48.5189 dBm | Tput: 2451.59 Mbps | Delay: 82.5194 ms | Jitter: 0.00563805 ms | Drop: 43262
[INFO] Waktu: 8s | Jarak: 79 m | RSSI: -48.9643 dBm | Tput: 2481.97 Mbps | Delay: 82.0494 ms | Jitter: 0.00537936 ms | Drop: 42757
[INFO] Waktu: 8.2s | Jarak: 81 m | RSSI: -49.3987 dBm | Tput: 2459.59 Mbps | Delay: 82.3051 ms | Jitter: 0.00556273 ms | Drop: 43137
[INFO] Waktu: 8.4s | Jarak: 83 m | RSSI: -49.8224 dBm | Tput: 2473.96 Mbps | Delay: 82.2518 ms | Jitter: 0.00548774 ms | Drop: 42926
[INFO] Waktu: 8.6s | Jarak: 85 m | RSSI: -50.236 dBm | Tput: 2463.6 Mbps | Delay: 82.2649 ms | Jitter: 0.00545836 ms | Drop: 43051
[INFO] Waktu: 8.8s | Jarak: 87 m | RSSI: -50.64 dBm | Tput: 2487.09 Mbps | Delay: 81.914 ms | Jitter: 0.00540059 ms | Drop: 42761
[INFO] Waktu: 9s | Jarak: 89 m | RSSI: -51.0349 dBm | Tput: 2462.24 Mbps | Delay: 82.2904 ms | Jitter: 0.00549007 ms | Drop: 43099
[INFO] Waktu: 9.2s | Jarak: 91 m | RSSI: -51.4209 dBm | Tput: 2470.37 Mbps | Delay: 82.2618 ms | Jitter: 0.00573243 ms | Drop: 42957
[INFO] Waktu: 9.4s | Jarak: 93 m | RSSI: -51.7986 dBm | Tput: 2431.16 Mbps | Delay: 82.9271 ms | Jitter: 0.00570751 ms | Drop: 43645
[INFO] Waktu: 9.6s | Jarak: 95 m | RSSI: -52.1682 dBm | Tput: 2374.87 Mbps | Delay: 84.0565 ms | Jitter: 0.00583395 ms | Drop: 44584
[INFO] Waktu: 9.8s | Jarak: 97 m | RSSI: -52.5301 dBm | Tput: 2383.7 Mbps | Delay: 84.0664 ms | Jitter: 0.00589237 ms | Drop: 44397
[INFO] Waktu: 10s | Jarak: 99 m | RSSI: -52.8847 dBm | Tput: 2336.77 Mbps | Delay: 84.9654 ms | Jitter: 0.00570381 ms | Drop: 45263
[INFO] Waktu: 10.2s | Jarak: 101 m | RSSI: -53.2321 dBm | Tput: 2234.32 Mbps | Delay: 87.1753 ms | Jitter: 0.00583964 ms | Drop: 46998
[INFO] Waktu: 10.4s | Jarak: 103 m | RSSI: -53.5727 dBm | Tput: 2239.15 Mbps | Delay: 87.5631 ms | Jitter: 0.0061185 ms | Drop: 46916
[INFO] Waktu: 10.6s | Jarak: 105 m | RSSI: -53.9068 dBm | Tput: 2223.07 Mbps | Delay: 87.7712 ms | Jitter: 0.00612623 ms | Drop: 52958
[INFO] Waktu: 10.8s | Jarak: 107 m | RSSI: -54.2346 dBm | Tput: 2240.38 Mbps | Delay: 87.4713 ms | Jitter: 0.00616549 ms | Drop: 46876
[INFO] Waktu: 11s | Jarak: 109 m | RSSI: -54.5563 dBm | Tput: 2232.67 Mbps | Delay: 87.503 ms | Jitter: 0.0061247 ms | Drop: 47049
[INFO] Waktu: 11.2s | Jarak: 111 m | RSSI: -54.8722 dBm | Tput: 2233.91 Mbps | Delay: 87.5209 ms | Jitter: 0.00617667 ms | Drop: 46944
